FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
167350.txt,https://www.religionenlibertad.com,33,www.religionenlibertad.com,26,0,com,100,1,0.5229071,0.063946492,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,2616,584,1,religiÃ³n en libertad | noticias de religiÃ³n,55.55555556,55.55555556,1,1,1,0,0,1,0,5,0,1,1,0,0,0,1,0,1,80,13,10,376,1,9,1
mw42508.txt,http://www.teramill.com,22,www.teramill.com,16,0,com,82.6446281,1,0.5229071,0.06741797,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
515489.txt,https://www.socialpolicy.org,27,www.socialpolicy.org,20,0,org,100,1,0.0799628,0.064491134,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1043,1037,1,social policy: organizing for social and economic justice,50,50,1,0,0,0,0,1,12,1,0,0,1,1,1,1,0,0,1,16,9,13,92,1,18,1
858208.txt,https://www.aoh61.com,20,www.aoh61.com,13,0,com,100,1,0.5229071,0.055131169,3,1,0,0,0,5,0.25,2,0.1,0,0,0,1,0.05,1,5966,22382,1,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,16,4,7,4,0,14,1
712305.txt,https://www.bulgariaski.com,26,www.bulgariaski.com,19,0,com,100,1,0.5229071,0.055714659,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2639,1574,1,bulgaria ski - bulgarian ski resorts and holiday bookings.,100,100,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,63,12,22,156,2,184,1
252332.txt,https://www.brightika.com,24,www.brightika.com,17,0,com,100,1,0.5229071,0.053754992,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,5509,550,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,14,19,2,1,14,1
862789.txt,https://www.motley.ie,20,www.motley.ie,13,0,ie,100,1,0.0015878,0.061203697,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2839,8047,1,home | motley,100,100,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,56,10,16,235,0,254,1
561324.txt,https://www.funzine.hu,21,www.funzine.hu,14,0,hu,100,1,0.0022172,0.042916591,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,1576,1907,1,funzine,100,100,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,52,10,27,0,1,143,1
791831.txt,https://www.dixxon.com,21,www.dixxon.com,14,0,com,100,1,0.5229071,0.054492147,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,5004,13844,1,facebook,0,0,1,0,1,0,0,1,0,21,0,1,1,1,1,1,1,0,1,259,14,33,168,1,90,1
861208.txt,https://www.ooty.ind.in,22,www.ooty.ind.in,15,0,in,100,0.625,0.0050842,0.060958413,2,2,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,719,1842,1,best places to visit in ooty tamil nadu ootacamund,80,80,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21,0,2,2,0,1,1
mw16985.txt,http://www.f0519141.xsph.ru,26,www.f0519141.xsph.ru,20,0,ru,55.28492647,0.923076923,0.0180132,0.015061052,2,2,0,0,0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,400 bad request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw131249.txt,http://www.shprakserf.gq,24,www.shprakserf.gq,17,0,gq,56.55114117,1,0.000053,0.042982074,2,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,20,211,1,shprakserf.gq,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6569.txt,https://www.cryptocompare.com,28,www.cryptocompare.com,21,0,com,100,1,0.5229071,0.066744309,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,2412,17815,1,"cryptocurrency prices, portfolio, forum, rankings | cryptocompare.com",0,0,1,0,1,0,0,1,0,2,0,1,0,1,0,1,1,1,1,49,2,4,111,2,39,1
394270.txt,https://www.diariodealmeria.es,29,www.diariodealmeria.es,22,0,es,100,1,0.0064109,0.068406052,2,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,11406,467,1,diario de almeria - diario de almerÃ­a,100,100,0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,1,217,4,10,609,12,93,1
518245.txt,https://www.town.minamichita.lg.jp,33,www.town.minamichita.lg.jp,26,0,jp,100,0.631578947,0.0230451,0.054905556,2,3,0,0,0,18,0.545,0,0,0,0,0,3,0.091,1,407,1497,1,å—çŸ¥å¤šç”ºå…¬å¼ã‚¦ã‚§ãƒ–ã‚µã‚¤ãƒˆ,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,37,10,21,2,0,7,1
683655.txt,https://www.bwresearch.com,25,www.bwresearch.com,18,0,com,100,1,0.5229071,0.062164929,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,317,191,1,bw research partnership,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,4,2,2,4,1
638225.txt,https://www.musicvideoproduction.guru,36,www.musicvideoproduction.guru,29,0,guru,100,1,0.0000954,0.056798719,4,1,0,0,0,23,0.639,0,0,0,0,0,1,0.028,1,795,3398,1,miami video production - music video company | regulus films,100,100,1,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,1,10,3,6,23,2,17,1
7972389.txt,https://service-mitld.firebaseapp.com/,37,service-mitld.firebaseapp.com,29,0,com,64.64526358,0.48,0.5229071,0.059401289,3,1,0,0,0,26,0.703,0,0,0,0,0,3,0.081,1,16,113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw34096.txt,http://www.kuradox92.lima-city.de,32,www.kuradox92.lima-city.de,26,0,de,45.84980237,0.526315789,0.0326503,0.0452655,2,2,0,0,0,16,0.5,2,0.062,0,0,0,3,0.094,0,43,283,1,www.kuradox92.lima-city.de - zugriff / access: #403,5.263157895,5.263157895,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
8008520.txt,https://liuy-9a930.web.app/,26,liuy-9a930.web.app,18,0,app,54.51591943,0.571428571,0.001502,0.032795326,3,1,0,0,0,11,0.423,4,0.154,0,0,0,3,0.115,1,108,8125,1,site not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
86745.txt,https://www.landed.com,21,www.landed.com,14,0,com,100,1,0.5229071,0.063377153,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,1465,1501,1,landed | homebuying navigator for essential professionals,100,100,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,13,17,29,45,1,59,1
8029912.txt,https://ipfs.io/ipfs/qmrvvyr84esa2assw9vvwupqjgsdn4c3dwkusfdwzdz3kn?clientid=noc@protocol.ai,91,ipfs.io,7,0,io,9.669201014,1,0.0129268,0.041482802,2,0,0,0,0,69,0.758,7,0.077,1,1,0,5,0.077,1,105,1607,1,roundcube webmail :: welcome to roundcube webmail,0,2.53164557,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,6,0,0,2,0
8066660.txt,http://att-103731-107123.weeblysite.com/,40,att-103731-107123.weeblysite.com,32,0,com,36.61221591,0.607142857,0.5229071,0.035013849,3,1,0,0,0,16,0.4,12,0.3,0,0,0,5,0.125,0,13,119,1,redirecting to https://att-103731-107123.weeblysite.com,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
53440.txt,https://www.bikeseoul.com,24,www.bikeseoul.com,17,0,com,100,1,0.5229071,0.062644799,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1331,343,1,ì„œìš¸ìžì „ê±° ë”°ë¦‰ì´ - ë¬´ì¸ëŒ€ì—¬ì‹œìŠ¤í…œ,0,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,15,29,17,49,0,13,1
8065475.txt,https://hidok4f8zl.firebaseapp.com/,35,hidok4f8zl.firebaseapp.com,26,0,com,63.90532544,0.590909091,0.5229071,0.047810565,3,1,0,0,0,22,0.629,2,0.057,0,0,0,3,0.086,1,108,8125,1,site not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
584755.txt,https://www.ibeani.co.uk,23,www.ibeani.co.uk,16,0,uk,100,0.777777778,0.028555,0.065006937,2,2,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,2625,3976,1,0,0,0,1,0,1,0,0,1,0,20,0,1,1,1,1,1,1,0,1,64,69,20,137,0,23,1
603823.txt,https://www.metroretrovintage.com,32,www.metroretrovintage.com,25,0,com,100,1,0.5229071,0.068597251,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,3188,2683,1,0,0,0,0,0,1,0,0,1,0,19,0,1,1,0,1,1,1,0,1,85,3,20,93,0,9,1
mw52024.txt,http://www.ooguy.com,19,www.ooguy.com,13,0,com,79.25925926,1,0.5229071,0.064809075,3,1,0,0,0,7,0.368,0,0,0,0,0,1,0.053,0,2,179,1,object moved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
62523.txt,https://www.vysor.io,19,www.vysor.io,12,0,io,100,1,0.0129268,0.05131194,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,229,171,1,vysor,100,100,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,4,8,7,0,4,1
mw74078.txt,http://www.fairytalesinc.com,27,www.fairytalesinc.com,21,0,com,76.65441176,1,0.5229071,0.061914384,3,1,0,0,0,15,0.556,0,0,0,0,0,1,0.037,0,2,2826,1,fairytalesinc,100,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
mw65785.txt,http://www.iuhjn.pplink.club,27,www.iuhjn.pplink.club,21,0,club,47.36639754,0.583333333,0.0006227,0.039958523,4,2,0,0,0,14,0.519,0,0,0,0,0,2,0.074,0,8,41,1,iuhjnpplink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7932715.txt,https://mechinchem-5cb8a.web.app/,32,mechinchem-5cb8a.web.app,24,0,app,49.27777778,0.6,0.001502,0.050001333,3,1,0,0,0,19,0.594,2,0.062,0,0,0,3,0.094,1,2,3306,1,mechinchem-5cb8aweb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
532746.txt,https://www.salutlive.com,24,www.salutlive.com,17,0,com,100,1,0.5229071,0.058978238,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,2262,739,1,salutlive,100,100,0,0,1,0,0,1,1,3,0,1,1,1,0,0,1,0,0,2,11,24,266,0,369,1
751473.txt,https://www.recettessimples.fr,29,www.recettessimples.fr,22,0,fr,100,1,0.0141483,0.061103084,2,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,3051,1021,1,recettessimples,100,100,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,56,1,18,71,0,283,1
8016956.txt,https://fb-restriction-case-97be5.web.app/,41,fb-restriction-case-97be5.web.app,33,0,app,34.32722951,0.482758621,0.001502,0.05160881,3,1,0,0,0,25,0.61,3,0.073,0,0,0,5,0.122,1,108,8125,1,fb-restriction-case-97be5web,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8044158.txt,https://pontosapontamentolu.com/gclid/=/c/?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,140,pontosapontamentolu.com,23,0,com,9.20379461,1,0.5229071,0.037272312,3,0,0,0,0,99,0.707,19,0.136,2,1,0,11,0.1,1,11,148,1,pontosapontamentolugclid=c?gclid=ishecabh95cvbhb1eiwagy6m4vn7url3tlj5m_nu__lcyj4n06pqquydbh-56148buwwbmv7k1qejboci-isjw5_kiq,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386777.txt,https://www.ainewsletter.com,27,www.ainewsletter.com,20,0,com,100,1,0.5229071,0.06627117,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,325,569,1,ainewsletter,100,100,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,21,1,21,1
445249.txt,https://www.marrugeku.com.au,27,www.marrugeku.com.au,20,0,au,100,0.769230769,0.0100856,0.060261303,2,2,0,0,0,13,0.481,0,0,0,0,0,2,0.074,1,567,1820,1,mrrugekucom,0,0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,9,10,20,83,0,84,1
527611.txt,https://www.sweatdrop.com,24,www.sweatdrop.com,17,0,com,100,1,0.5229071,0.062492995,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,301,263,1,sweatdrop,100,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,1,5,39,0,12,1
mw1796.txt,http://www.komaru.today,22,www.komaru.today,16,0,today,65.84022039,1,0.0001604,0.062467929,5,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8030239.txt,https://dev-634536.pantheonsite.io/,34,dev-634536.pantheonsite.io,26,0,io,76.13412229,0.826086957,0.0129268,0.04598469,2,1,0,0,0,17,0.5,6,0.176,0,0,0,3,0.088,1,141,161,1,dev-634536pantheonsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0
96527.txt,https://www.senacases.com,24,www.senacases.com,17,0,com,100,1,0.5229071,0.074052865,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,5194,2716,1,senacases,100,100,1,0,1,1,0,1,0,23,0,1,1,1,1,1,1,0,1,42,26,53,139,3,40,1
8050920.txt,https://sabadonoappmagazine.com/,32,sabadonoappmagazine.com,23,0,com,64.42974165,1,0.5229071,0.062301654,3,0,0,0,0,22,0.688,0,0,0,0,0,2,0.062,1,98,292,1,sabadonoappmagazine,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626639.txt,https://www.vespatales.com,25,www.vespatales.com,18,0,com,100,1,0.5229071,0.063532013,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,3176,3960,1,vespatales,100,100,1,0,0,0,0,0,5,10,0,1,1,0,0,1,0,0,0,180,3,7,260,0,124,1
mw27703.txt,http://www.nextraload.com,24,www.nextraload.com,18,0,com,72.10884354,1,0.5229071,0.065133791,3,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,2,479,1,nextraload,100,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145087.txt,https://www.klerk.ru,19,www.klerk.ru,12,0,ru,100,1,0.0180132,0.048096855,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,3394,7250,1,klek,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,15,4,8,142,1,91,1
28887.txt,https://www.karenmillen.com,26,www.karenmillen.com,19,0,com,100,1,0.5229071,0.064599296,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,3304,25182,1,karenmillen,100,100,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,3,8,50,403,2,417,1
8024229.txt,https://topaka.cloud/ob52gtplj/18snwp,36,topaka.cloud,12,0,cloud,32.01743956,1,0.0001819,0.042140183,5,0,0,0,0,21,0.583,4,0.111,0,0,0,3,0.083,1,90,394,1,topakaob52gtplj18snw,0,95.23809524,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,2,0
404766.txt,https://www.mlpack.org,21,www.mlpack.org,14,0,org,100,1,0.0799628,0.058046018,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,533,234,1,mlpack,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,0,10,1
8017962.txt,https://metafb-tvz6efk.web.app/,30,metafb-tvz6efk.web.app,22,0,app,51.95337114,0.444444444,0.001502,0.040628727,3,1,0,0,0,18,0.6,1,0.033,0,0,0,3,0.1,1,36,247,1,metafb-tvz6efkweb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
mw63002.txt,http://www.hesselawchambers.com,30,www.hesselawchambers.com,24,0,com,62.82548476,1,0.5229071,0.060811307,3,1,0,0,0,18,0.6,0,0,0,0,0,1,0.033,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641422.txt,https://www.schmitzfotografia.com.br,35,www.schmitzfotografia.com.br,28,0,br,100,0.857142857,0.0094423,0.057284654,2,2,0,0,0,21,0.6,0,0,0,0,0,2,0.057,1,812,1057,1,schmitzfotografiacom,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,6,5,22,2,11,1
157978.txt,https://www.lanereport.com,25,www.lanereport.com,18,0,com,100,1,0.5229071,0.070239275,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1990,16389,1,lanereport,100,100,0,1,1,0,0,1,0,2,1,1,1,1,0,1,0,0,1,49,26,29,268,0,297,1
500325.txt,https://www.spg.pt,17,www.spg.pt,10,0,pt,100,1,0.0015361,0.033447415,2,1,0,0,0,4,0.235,0,0,0,0,0,1,0.059,1,1138,9530,1,sg,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,18,16,19,143,8,159,1
74410.txt,https://www.coraevans.com,24,www.coraevans.com,17,0,com,100,1,0.5229071,0.071746922,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,801,484,1,raevans,77.77777778,77.77777778,1,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,23,2,9,66,0,67,1
859553.txt,https://www.torahmates.org,25,www.torahmates.org,18,0,org,100,1,0.0799628,0.069403421,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1103,556,1,tahmates,0,0,0,0,1,0,0,1,0,9,0,1,1,1,0,0,0,0,1,31,13,8,34,2,24,1
43990.txt,https://www.larepublica.co,25,www.larepublica.co,18,0,co,100,1,0.0059772,0.057415787,2,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,4328,2624,1,larepublia,0,0,1,0,1,0,0,1,0,9,0,1,0,0,0,0,0,0,1,216,5,10,406,0,444,1
597036.txt,https://www.pimpim.lt,20,www.pimpim.lt,13,0,lt,100,1,0.0005524,0.048970194,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,3659,659,1,pimpim,100,100,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,63,5,7,433,0,442,1
mw31j26066.txt,http://www.httpzen.fairhash.org,30,www.httpzen.fairhash.org,24,0,org,48.80952381,0.5625,0.0799628,0.051875492,3,2,0,0,0,17,0.567,0,0,0,0,0,2,0.067,0,9,42,1,httpzenfairhash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mw70083.txt,http://www.cjplogger.com,23,www.cjplogger.com,17,0,com,84.78444632,1,0.5229071,0.057462154,3,1,0,0,0,11,0.478,0,0,0,0,0,1,0.043,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91992.txt,https://www.radware.com,22,www.radware.com,15,0,com,100,1,0.5229071,0.065891816,3,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,2193,9477,1,radware,100,100,1,0,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,39,1,9,347,2,43,1
mw79382.txt,http://www.erlegen.de,20,www.erlegen.de,14,0,de,78.18181818,1,0.0326503,0.061197443,2,1,0,0,0,8,0.4,0,0,0,0,0,1,0.05,0,11,74,1,erlegen,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mw29588.txt,http://www.f0535398.xsph.ru,26,www.f0535398.xsph.ru,20,0,ru,61.67279412,0.923076923,0.0180132,0.014753016,2,2,0,0,0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,f0535398xsph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8077169.txt,https://ggsexpole.web.app/,26,ggsexpole.web.app,17,0,app,52.18836565,0.769230769,0.001502,0.047984494,3,1,0,0,0,15,0.577,0,0,0,0,0,3,0.115,1,16,110,1,ggsexpoleweb,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
